artist_link,artist_name
https://open.spotify.com/artist/0PHHKCmnQpS14HORG1YYBb?si=mOsBknzGSrqDM7wuxZ9dcw,Penta
https://open.spotify.com/artist/1H2HWUEIOvnHsjYImonEft?si=2UY8UZbBSxq4ZOYVL1vxkg,The Anunnaki
https://open.spotify.com/artist/1NOqZMm11sS45ORRxf36ru?si=i5_KyqWDRA25lBme5XGgNQ,The Carnage Corps
https://open.spotify.com/artist/1oZ7OpE1SHjyUjXgYKaLpM?si=tx6wA0NDTUWjKS4EVi531Q,Sandy Warez
https://open.spotify.com/artist/1wpaywUewZ3v9UMP9sBcN7?si=Xhmz9-4wTn6WEjiGHfWEmA,Koozah
https://open.spotify.com/artist/2Qfe8raQEsAYOlSbTZG4aB?si=whXBQa8-QIm-Zb_SuJiYqw,Fragz
https://open.spotify.com/artist/2v1nQB0O6jTSbHGU6FAFqr?si=1xOGrMb6ReK5L9sTxI6qAw,Strobcore
https://open.spotify.com/artist/3jQSKka1OAFLo5RVqmzIO1?si=aJD80eEISKGlErluj3YGSQ,Lowroller
https://open.spotify.com/artist/3mGoAiKqHBIjGFEDrJdUMQ?si=pHukK32LRaGz0veDI5D3EA,Zerberuz
https://open.spotify.com/artist/3mHNSwsSiKmmKN2nMudyNq?si=VBbi4fgzTA6jP-azdPJJwA,Iridium
https://open.spotify.com/artist/3n8JNh6L06fF33IOT75Cmy?si=nwZilEdGQcCL0Z7u9ZQQkA,Wavolizer
https://open.spotify.com/artist/3ovMVfc0goF4SEurQ6rgAF?si=PPDMKelUTbimhQ3etex40Q,I:gor
https://open.spotify.com/artist/45v249ZA13O6zMpmg7djby?si=Yp_eXBjDT8W3EUSaMaA3uQ,Deathmachine
https://open.spotify.com/artist/4NS6tpO6Wi7Z5FVcwS0EZP?si=Lb7gVDiYSPCMGmbDMgGuqg,Tripped
https://open.spotify.com/artist/4SYJNUTeuqa13uUqrRGGgt?si=I8-UG8l8R_KgzsoOlcSX6w,Meccano Twins
https://open.spotify.com/artist/4f8x3gw9REomgjxI1KdxOA?si=xYYoadEKS4O6FtH2G8L7uQ,Sei2ure
https://open.spotify.com/artist/4l5yM8Xgy138mX8enj6mud?si=RcuBR5zNTo6P3z4f-aGNtQ,Counterstrike
https://open.spotify.com/artist/4Z82ZQELVx9SitSEOKHtcE?si=u6hhE5loR0SJ-4n6W-fbWQ,Donny
https://open.spotify.com/artist/4zjU0UelDa2Eac0jkmMo4t?si=XrXOXcNQTiCIuutV9A9n4g,Switch Technique
https://open.spotify.com/artist/4zzYBv1zMJRee7ExiPc3Oj?si=AnSfy-lPRTy3Z4wuT3yzYA,Cooh
https://open.spotify.com/artist/54vURjjcnkvQ9XoaxLgnCi?si=E7J2A-9XTamaa4DRGAsiPw,Negative A
https://open.spotify.com/artist/5K4DYOZmv58mpArt4NCumc?si=Iz57C78YQfGGznpe3WSm9g,The DJ Producer
https://open.spotify.com/artist/5YG7cC1VX7Nh7AjUOf6PcG?si=8HEmeEsMRbC8H_8qmKGzjg,Radium
https://open.spotify.com/artist/5ujtFF8tQzfKOQN1KcvCHW?si=i1QYkhhBSmKooZvO-GSmMA,eDUB
https://open.spotify.com/artist/6Vh8H80QdaXyQYGjEpzuCY?si=vfpKoMK9Q6yJD3l0S_rX4w,Switch Technique
https://open.spotify.com/artist/6XPfY4QyCgpGvRcvHt4b7W?si=fp5L8wRvR1mnFrKwoEkgdQ,Sinister Souls
https://open.spotify.com/artist/71xytiJEuIEgxrcV6sghd6?si=1Jig0KalQreTQWzQrpcWTQ,Tieum
https://open.spotify.com/artist/79JBzbzeNHhY3HDtbCUcxc?si=l2eJJpXJSwm7NhlZXHul5A,Forbidden Society
https://open.spotify.com/artist/5Pt35ygNM9XKtD6WSZ6rAn?si=h7g36orBT7K6RvL931Yagg,Wicked Minds
https://open.spotify.com/artist/04G86bE80jBhRVfH7SvQyJ?si=naS18avHSDGoOxv1tRZH0w,The Punisher
https://open.spotify.com/artist/29VlyByJ8fMAJKNnJzq7ZA?si=5UQSC5avS2WKw8NKanNj9g,Neox
https://open.spotify.com/artist/1mCm9sqidA8YS31nVyvlXM?si=CgODGs72QheherxgCIV-KA,Limewax
https://open.spotify.com/artist/243PLqNNIyCzGQlKdnGmOJ?si=3Eyi1yxKSlyBt-La4Vnu0g,Katharsys
https://open.spotify.com/artist/1ODM6xNS8Osji0prNFRK9H?si=Mn8co-kTTOyYDNnuHgBpEA,Hardbouncer
